"Company","Date","Close"
"Baidu",2017-02-10,183.99
"Alibaba",2017-02-10,102.36
"Tencent(HK)",2017-02-10,202.6
"Apple",2017-02-13,133.29
"Google",2017-02-13,838.96
"Amazon",2017-02-13,836.53
"Facebook",2017-02-13,134.05
"Baidu",2017-02-13,184.31
"Alibaba",2017-02-13,103.1
"Tencent(HK)",2017-02-13,203.6
"Apple",2017-02-14,135.02
"Google",2017-02-14,840.03
"Amazon",2017-02-14,836.39
"Facebook",2017-02-14,133.85
"Baidu",2017-02-14,182.77
"Alibaba",2017-02-14,101.59
"Tencent(HK)",2017-02-14,202.8
"Apple",2017-02-15,135.51
"Google",2017-02-15,837.32
"Amazon",2017-02-15,842.7
"Facebook",2017-02-15,133.44
"Baidu",2017-02-15,183.58
"Alibaba",2017-02-15,101.55
"Tencent(HK)",2017-02-15,206.6
"Apple",2017-02-16,135.34
"Google",2017-02-16,842.17
"Amazon",2017-02-16,844.14
"Facebook",2017-02-16,133.84
"Baidu",2017-02-16,184.94
"Alibaba",2017-02-16,100.82
"Tencent(HK)",2017-02-16,212
"Apple",2017-02-17,135.72
"Google",2017-02-17,846.55
"Amazon",2017-02-17,845.07
"Facebook",2017-02-17,133.53
"Baidu",2017-02-17,185.17
"Alibaba",2017-02-17,100.52
"Tencent(HK)",2017-02-17,212.2
"Tencent(HK)",2017-02-20,214
"Apple",2017-02-21,136.7
"Google",2017-02-21,849.27
"Amazon",2017-02-21,856.44
"Facebook",2017-02-21,133.72
"Baidu",2017-02-21,185.62
"Alibaba",2017-02-21,102.12
"Tencent(HK)",2017-02-21,211
"Apple",2017-02-22,137.11
"Google",2017-02-22,851.36
"Amazon",2017-02-22,855.61
"Facebook",2017-02-22,136.12
"Baidu",2017-02-22,186.01
"Alibaba",2017-02-22,104.2
"Tencent(HK)",2017-02-22,215
"Apple",2017-02-23,136.53
"Google",2017-02-23,851
"Amazon",2017-02-23,852.19
"Facebook",2017-02-23,135.36
"Baidu",2017-02-23,184.64
"Alibaba",2017-02-23,102.46
"Tencent(HK)",2017-02-23,214.8
"Apple",2017-02-24,136.66
"Google",2017-02-24,847.81
"Amazon",2017-02-24,845.24
"Facebook",2017-02-24,135.44
"Baidu",2017-02-24,175.17
"Alibaba",2017-02-24,102.95
"Tencent(HK)",2017-02-24,211.2
"Apple",2017-02-27,136.93
"Google",2017-02-27,849.67
"Amazon",2017-02-27,848.64
"Facebook",2017-02-27,136.41
"Baidu",2017-02-27,172.97
"Alibaba",2017-02-27,103.6
"Tencent(HK)",2017-02-27,210.2
"Apple",2017-02-28,136.99
"Google",2017-02-28,844.93
"Amazon",2017-02-28,845.04
"Facebook",2017-02-28,135.54
"Baidu",2017-02-28,174.13
"Alibaba",2017-02-28,102.9
"Tencent(HK)",2017-02-28,207
"Apple",2017-03-01,139.79
"Google",2017-03-01,856.75
"Amazon",2017-03-01,853.08
"Facebook",2017-03-01,137.42
"Baidu",2017-03-01,175.33
"Alibaba",2017-03-01,104.04
"Tencent(HK)",2017-03-01,206.8
"Apple",2017-03-02,138.96
"Google",2017-03-02,849.85
"Amazon",2017-03-02,848.91
"Facebook",2017-03-02,136.76
